timestamps,Motion_State
2023-08-08 05:35:37.002652800+00:00,2
2023-08-08 05:35:37.008112800+00:00,2
2023-08-08 05:35:37.014540900+00:00,2
2023-08-08 05:35:37.020656500+00:00,2
2023-08-08 05:35:37.026655+00:00,2
2023-08-08 05:35:37.032540+00:00,2
2023-08-08 05:35:37.038655600+00:00,2
2023-08-08 05:35:37.044715800+00:00,2
2023-08-08 05:35:37.050543200+00:00,2
2023-08-08 05:35:37.056656700+00:00,2
2023-08-08 05:35:37.062655299+00:00,2
2023-08-08 05:35:37.068542700+00:00,2
2023-08-08 05:35:37.074656500+00:00,2
2023-08-08 05:35:37.080781800+00:00,2
2023-08-08 05:35:37.086656300+00:00,2
2023-08-08 05:35:37.092780800+00:00,2
2023-08-08 05:35:37.098658400+00:00,2
2023-08-08 05:35:37.104779500+00:00,2
2023-08-08 05:35:37.110658500+00:00,2
2023-08-08 05:35:37.116660+00:00,2
2023-08-08 05:35:37.122547500+00:00,2
2023-08-08 05:35:37.128659600+00:00,2
2023-08-08 05:35:37.134660100+00:00,2
2023-08-08 05:35:37.140658600+00:00,2
2023-08-08 05:35:37.146658+00:00,2
2023-08-08 05:35:37.152658700+00:00,2
2023-08-08 05:35:37.158662300+00:00,2
2023-08-08 05:35:37.164660800+00:00,2
2023-08-08 05:35:37.170661200+00:00,2
2023-08-08 05:35:37.176549100+00:00,2
2023-08-08 05:35:37.182662900+00:00,2
2023-08-08 05:35:37.188662400+00:00,2
2023-08-08 05:35:37.194662+00:00,2
2023-08-08 05:35:37.200791700+00:00,2
2023-08-08 05:35:37.206662700+00:00,2
2023-08-08 05:35:37.212785900+00:00,2
2023-08-08 05:35:37.218666400+00:00,2
2023-08-08 05:35:37.224785700+00:00,2
2023-08-08 05:35:37.230667200+00:00,2
2023-08-08 05:35:37.236665700+00:00,2
2023-08-08 05:35:37.242665700+00:00,2
2023-08-08 05:35:37.248666300+00:00,2
2023-08-08 05:35:37.254666799+00:00,2
2023-08-08 05:35:37.260670299+00:00,2
2023-08-08 05:35:37.266667800+00:00,2
2023-08-08 05:35:37.272668800+00:00,2
2023-08-08 05:35:37.278668300+00:00,2
2023-08-08 05:35:37.284669800+00:00,2
2023-08-08 05:35:37.290669400+00:00,2
2023-08-08 05:35:37.296667800+00:00,2
2023-08-08 05:35:37.302668400+00:00,2
2023-08-08 05:35:37.308128300+00:00,2
2023-08-08 05:35:37.314670600+00:00,2
2023-08-08 05:35:37.320794900+00:00,2
2023-08-08 05:35:37.326670300+00:00,2
2023-08-08 05:35:37.332793+00:00,2
2023-08-08 05:35:37.338672400+00:00,2
2023-08-08 05:35:37.344851700+00:00,2
2023-08-08 05:35:37.350672200+00:00,2
2023-08-08 05:35:37.356673700+00:00,2
2023-08-08 05:35:37.362674200+00:00,2
2023-08-08 05:35:37.368132200+00:00,2
2023-08-08 05:35:37.374670700+00:00,2
2023-08-08 05:35:37.380673100+00:00,2
2023-08-08 05:35:37.386672600+00:00,2
2023-08-08 05:35:37.392672100+00:00,2
2023-08-08 05:35:37.398673500+00:00,2
2023-08-08 05:35:37.404689400+00:00,2
2023-08-08 05:35:37.410674300+00:00,2
2023-08-08 05:35:37.416673300+00:00,2
2023-08-08 05:35:37.422675900+00:00,2
2023-08-08 05:35:37.428676400+00:00,2
2023-08-08 05:35:37.434676+00:00,2
2023-08-08 05:35:37.440803800+00:00,2
2023-08-08 05:35:37.446677300+00:00,2
2023-08-08 05:35:37.452802100+00:00,2
2023-08-08 05:35:37.458679600+00:00,2
2023-08-08 05:35:37.464798600+00:00,2
2023-08-08 05:35:37.470679100+00:00,2
2023-08-08 05:35:37.476679600+00:00,2
2023-08-08 05:35:37.482678200+00:00,2
2023-08-08 05:35:37.488680700+00:00,2
2023-08-08 05:35:37.494678200+00:00,2
2023-08-08 05:35:37.500682700+00:00,2
2023-08-08 05:35:37.506680700+00:00,2
2023-08-08 05:35:37.512681399+00:00,2
2023-08-08 05:35:37.518682899+00:00,2
2023-08-08 05:35:37.524682299+00:00,2
2023-08-08 05:35:37.530681800+00:00,2
2023-08-08 05:35:37.536208700+00:00,2
2023-08-08 05:35:37.542680300+00:00,2
2023-08-08 05:35:37.548683900+00:00,2
2023-08-08 05:35:37.554682500+00:00,2
2023-08-08 05:35:37.560806900+00:00,2
2023-08-08 05:35:37.566683400+00:00,2
2023-08-08 05:35:37.572807100+00:00,2
2023-08-08 05:35:37.578143500+00:00,2
2023-08-08 05:35:37.584804700+00:00,2
2023-08-08 05:35:37.590685200+00:00,2
2023-08-08 05:35:37.596762800+00:00,2
2023-08-08 05:35:37.602684300+00:00,2
2023-08-08 05:35:37.608686800+00:00,2
2023-08-08 05:35:37.614684100+00:00,2
2023-08-08 05:35:37.620690600+00:00,2
2023-08-08 05:35:37.626685+00:00,2
2023-08-08 05:35:37.632685500+00:00,2
2023-08-08 05:35:37.638686100+00:00,2
2023-08-08 05:35:37.644748300+00:00,2
2023-08-08 05:35:37.650688800+00:00,2
2023-08-08 05:35:37.656765800+00:00,2
2023-08-08 05:35:37.662687300+00:00,2
2023-08-08 05:35:37.668689800+00:00,2
2023-08-08 05:35:37.674689400+00:00,2
2023-08-08 05:35:37.680817+00:00,2
2023-08-08 05:35:37.686690500+00:00,2
2023-08-08 05:35:37.692812+00:00,2
2023-08-08 05:35:37.698690500+00:00,2
2023-08-08 05:35:37.704810200+00:00,2
2023-08-08 05:35:37.710691100+00:00,2
2023-08-08 05:35:37.716690600+00:00,2
2023-08-08 05:35:37.722691200+00:00,2
2023-08-08 05:35:37.728151600+00:00,2
2023-08-08 05:35:37.734692200+00:00,2
2023-08-08 05:35:37.740688700+00:00,2
2023-08-08 05:35:37.746692200+00:00,2
2023-08-08 05:35:37.752691200+00:00,2
2023-08-08 05:35:37.758694700+00:00,2
2023-08-08 05:35:37.764694100+00:00,2
2023-08-08 05:35:37.770694700+00:00,2
2023-08-08 05:35:37.776693200+00:00,2
2023-08-08 05:35:37.782694600+00:00,2
2023-08-08 05:35:37.788694100+00:00,2
2023-08-08 05:35:37.794695600+00:00,2
2023-08-08 05:35:37.800819700+00:00,2
2023-08-08 05:35:37.806695700+00:00,2
2023-08-08 05:35:37.812818900+00:00,2
2023-08-08 05:35:37.818697400+00:00,2
2023-08-08 05:35:37.824818200+00:00,2
2023-08-08 05:35:37.830698600+00:00,2
2023-08-08 05:35:37.836776200+00:00,2
2023-08-08 05:35:37.842699100+00:00,2
2023-08-08 05:35:37.848778400+00:00,2
2023-08-08 05:35:37.854697+00:00,2
2023-08-08 05:35:37.860700600+00:00,2
2023-08-08 05:35:37.866697100+00:00,2
2023-08-08 05:35:37.872697500+00:00,2
2023-08-08 05:35:37.878701100+00:00,2
2023-08-08 05:35:37.884699600+00:00,2
2023-08-08 05:35:37.890700100+00:00,2
2023-08-08 05:35:37.896777300+00:00,2
2023-08-08 05:35:37.902699800+00:00,2
2023-08-08 05:35:37.908701800+00:00,2
2023-08-08 05:35:37.914701200+00:00,2
2023-08-08 05:35:37.920832900+00:00,2
2023-08-08 05:35:37.926702300+00:00,2
2023-08-08 05:35:37.932827100+00:00,2
2023-08-08 05:35:37.938168600+00:00,2
2023-08-08 05:35:37.944885100+00:00,2
